email,boarding_location,destination,pet_breed,chargable_weight_pound
user1@mail.com,New York,New Delhi,Labrador,73
user2@mail.com,Los Angeles,San Francisco,Poodle,77
user3@mail.com,London,Munich,Bulldog,90
user4@mail.com,Sydney,Melbourne,Beagle,67
user5@mail.com,Berlin,Paris,German Shepherd,20
user6@mail.com,Mumbai,Tokyo,Golden Retriever,83
user7@mail.com,Delhi,Singapore,Persian Cat,46
user8@mail.com,Chicago,Mexico City,Siamese Cat,32
user9@mail.com,Toronto,Beijing,Husky,39
user10@mail.com,Dubai,Cape Town,Doberman,56
