driver_id,driver_name,driver_email,driver_country,driver_city,driver_rating
1,Tom,driver1@mail.com,USA,Dubai,5
2,Emily,driver2@mail.com,Germany,Delhi,5
3,Sophia,driver3@mail.com,Australia,Dubai,5
4,Steve,driver4@mail.com,USA,Mumbai,5
5,Samantha,driver5@mail.com,United Kingdom,Toronto,4
6,Steve,driver6@mail.com,United Kingdom,Los Angeles,4
7,David,driver7@mail.com,Germany,Sydney,3
8,Maria,driver8@mail.com,Germany,Sydney,5
9,Steve,driver9@mail.com,USA,Los Angeles,5
10,Tom,driver10@mail.com,USA,Delhi,4
11,David,driver11@mail.com,United Kingdom,Sydney,3
12,David,driver12@mail.com,USA,New York,5
13,Alex,driver13@mail.com,Australia,Dubai,4
14,Steve,driver14@mail.com,India,Sydney,3
15,Emily,driver15@mail.com,India,Berlin,5
16,Emily,driver16@mail.com,USA,Toronto,3
17,Samantha,driver17@mail.com,United Kingdom,Chicago,4
18,Michael,driver18@mail.com,Australia,Los Angeles,3
19,Sophia,driver19@mail.com,India,Berlin,3
20,Emily,driver20@mail.com,Germany,Chicago,5
